ID,Región,Pacto,Comuna,Nombre,¿Nuevo o Reelecto?,BANCADA AchM,Militancia,CUPO,Antigua Militancia (si es IND)
6,Región de Valparaíso,Fuera de Pacto,Quintero,Rolando Silva F.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,EVO
6,Región de Valparaíso,Fuera de Pacto,San Antonio,Omar Vera C.,NUEVO-RETORNO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PRSD
6,Región de Valparaíso,Fuera de Pacto,San Esteban,Christian Ortega V.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IND
6,Región de Valparaíso,Fuera de Pacto,Santo Domingo,Fernando Rodríguez L.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,UDI
7,Región Metropolitana de Santiago,Fuera de Pacto,Cerrillos,Johnny Yáñez D.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PRSD
7,Región Metropolitana de Santiago,Fuera de Pacto,Cerro Navia,Mauro Tamayo R.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PC
7,Región Metropolitana de Santiago,Fuera de Pacto,Conchalí,René Vega F.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IND
7,Región Metropolitana de Santiago,Fuera de Pacto,Curacaví,Christian Hernández V.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,UDI-RN
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Alhué,Marcela Chamorro M.,NUEVO,PARTIDO DEMÓCRATA CRISTIANO,INDEPENDIENTES-CChM,DC,
7,Región Metropolitana de Santiago,Chile Vamos,Buin,Miguel Araya L.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
6,Región Metropolitana de Santiago,Chile Vamos,Calera,Hortensia Mora C.,REELECTO,PARTIDO DEMÓCRATA CRISTIANO,UNION DEMOCRATA INDEPENDIENTE,,
7,Región Metropolitana de Santiago,Chile Vamos,Colina,Isabel Valenzuela A.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,UNION DEMOCRATA INDEPENDIENTE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,El Bosque,Manuel Zúñiga A.,REELECTO,PARTIDO SOCIALISTA DE CHILE,PARTIDO SOCIALISTA DE CHILE,,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,El Monte,Zandra Maulen J.,NUEVO,PARTIDO POR LA DEMOCRACIA,INDEPENDIENTES-CChM,PPD,
7,Región Metropolitana de Santiago,Contigo Chile Mejor,Estación Central,Felipe Muñoz V,REELECTO,PARTIDO FRENTE AMPLIO,INDEPENDIENTES-CChM,FA,
7,Región del Biobío,Contigo Chile Mejor,Florida,Rodrigo Montero C.,NUEVO,PARTIDO SOCIALISTA DE CHILE,PARTIDO SOCIALISTA DE CHILE,,
7,Región Metropolitana de Santiago,Chile Vamos,Huechuraba,Maximiliano Luksic L.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
7,Región Metropolitana de Santiago,Chile Vamos,Independencia,Agustín Iglesias M.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
